Partlist

Exported from 32BVer0.sch at 28/06/2021 13:55:23

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part         Value            Device            Package        Library         Sheet

GAP2         CG75L            CG75L             GAP            magnetometro    3
GAP3         CG75L            CG75L             GAP            magnetometro    3
GAP4         CG75L            CG75L             GAP            magnetometro    3
-----------------------------------------------------------------------------------------> 4

IC14         NTA0505MC        NTA0505M          DCDC           Ricardo_Library 3

ANALOG_INPUT DB25             F25HP             F25HP          con-subd        1

SHIELD1                       SHIELD_50X38      SHIELD_38X50   magnetometro    2

1PPS                          PINHD-1X2         1X02           pinhead         3
COM1                          PINHD-1X3         1X03           pinhead         3
LOG                           PINHD-1X2         1X02           pinhead         3
MOD1         RASPBERRY-PI     PINES_RASPI       FE20-2         LibraryMagnet   3
