Partlist

Exported from 32BVer0.brd at 29/06/2021 13:30:07

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part         Value            Package        Library         Position (mil)        Orientation

R23          300              R0603          rcl             (2151.48 2873)        MR270
R24          300              R0603          rcl             (2074.48 2873)        MR270
R25          300              R0603          rcl             (1997.48 2873)        MR270
R26          300              R0603          rcl             (2227.48 2873)        MR270
R27          300              R0603          rcl             (1999.48 579)         R90
R28          300              R0603          rcl             (2059.48 579)         R90
R29          300              R0603          rcl             (2119.48 579)         R90
R30          300              R0603          rcl             (2215 613.48)         R180
R31          300              R0603          rcl             (2179.48 3722)        R270
R32          300              R0603          rcl             (2119.48 3722)        R270
R33          300              R0603          rcl             (2059.48 3722)        R270
R34          300              R0603          rcl             (1999.48 3722)        R270
R35          300              R0603          rcl             (3857.48 1212)        R180
R36          300              R0603          rcl             (3857.48 622)         R180
R37          1K               R0603          rcl             (4298.48 781)         R90
R38          0                R0603          rcl             (3496.48 3830)        MR270
R39          300              R0603          rcl             (3307.48 622)         MR0
R40          300              R0603          rcl             (3307.48 1212)        MR0
R41          300              R0603          rcl             (2957.48 3580)        R90
R42          300              R0603          rcl             (3057.48 3580)        R90
R43          300              R0603          rcl             (4007.48 3580)        R90
R44          300              R0603          rcl             (4107.48 3580)        R90
R45          1K               R0603          rcl             (2608 385)            R270
R46          1K               R0603          rcl             (2458 385)            R270
SHIELD1                       SHIELD_38X50   magnetometro    (2867.48 1153)        MR0
XTAL         16MHz            SM49           crystal         (1595.48 2687)        MR270
